Date,Adj Close,Close,High,Low,Open,Volume
2005-01-03,108.27274322509766,169.15750122070312,169.58749389648438,166.9324951171875,166.9324951171875,4734168
2005-01-04,107.31256103515625,167.65750122070312,169.25,166.64500427246094,168.75,4979104
2005-01-05,106.01168823242188,165.625,167.52499389648438,160.03750610351562,167.52499389648438,9604320
2005-01-06,105.64842987060547,165.0574951171875,168.25,161.5625,165.0,8006888
2005-01-07,107.20862579345703,167.4949951171875,168.125,164.08250427246094,166.25,7623136
2005-01-10,106.20845794677734,165.9324951171875,169.9250030517578,165.25,168.58250427246094,7521568
2005-01-11,105.11237335205078,164.22000122070312,166.91250610351562,162.625,166.25,7986376
2005-01-12,103.8562240600586,162.25750732421875,170.9949951171875,160.83749389648438,165.7449951171875,20720032
2005-01-13,103.4433364868164,161.6125030517578,167.33749389648438,159.375,163.75,27757952
2005-01-14,103.7233657836914,162.0500030517578,164.7375030517578,159.625,163.08749389648438,15757776
2005-01-17,101.07194519042969,157.90750122070312,163.6999969482422,155.02499389648438,163.6999969482422,13651184
2005-01-18,101.11993408203125,157.9824981689453,160.5,157.1875,159.33749389648438,6183264
2005-01-19,100.4430923461914,156.9250030517578,159.21249389648438,156.3874969482422,158.25,3538488
2005-01-20,99.50696563720703,155.46249389648438,156.875,153.75,156.875,4536200
2005-01-24,97.66351318359375,152.58250427246094,155.9199981689453,151.9199981689453,155.46249389648438,3628192
2005-01-25,98.84768676757812,154.4324951171875,154.9875030517578,150.8874969482422,151.85000610351562,4465928
2005-01-27,99.25570678710938,155.07000732421875,156.72500610351562,154.41250610351562,155.40750122070312,5455344
2005-01-28,103.1473617553711,161.14999389648438,161.85000610351562,155.3125,155.3574981689453,8393816
2005-01-31,104.04341888427734,162.5500030517578,163.97500610351562,161.28250122070312,162.25,5853384
2005-02-01,105.23240661621094,164.40750122070312,165.0,160.875,163.375,8019840
2005-02-02,104.7283706665039,163.6199951171875,165.4324951171875,162.875,164.875,4870456
2005-02-03,105.18077087402344,163.8874969482422,164.34500122070312,162.75,164.0,3327616
2005-02-04,104.80855560302734,163.3074951171875,165.25,162.57000732421875,163.75,2684040
2005-02-07,105.39418029785156,164.22000122070312,166.33749389648438,162.625,164.0749969482422,5944216
2005-02-08,105.5738525390625,164.5,165.375,163.5,164.22000122070312,3284432
2005-02-09,106.921630859375,166.60000610351562,167.9499969482422,165.09500122070312,165.125,5537936
2005-02-10,106.91039276123047,166.58250427246094,167.9375,165.375,166.25,4376648
2005-02-11,110.849365234375,172.72000122070312,173.375,167.25,167.25,10367096
2005-02-14,113.08767700195312,176.20750427246094,177.25,173.88250732421875,173.88250732421875,8875264
2005-02-15,110.81722259521484,172.6699981689453,176.875,171.75,176.25,3976720
2005-02-16,109.75833892822266,171.02000427246094,174.875,170.125,174.875,3126832
2005-02-17,110.85736083984375,172.7324981689453,173.25,168.8249969482422,171.02000427246094,4124976
2005-02-18,110.30704498291016,171.875,174.0,169.375,172.5,2545144
2005-02-21,109.54972839355469,170.69500732421875,171.97500610351562,168.1374969482422,171.375,1777152
2005-02-22,109.38127899169922,170.4324951171875,171.2449951171875,168.875,170.58749389648438,2139040
2005-02-23,110.30380249023438,171.8699951171875,172.7624969482422,169.39500427246094,170.4324951171875,5166816
2005-02-24,109.74226379394531,170.9949951171875,174.4875030517578,170.14999389648438,171.8699951171875,10806440
2005-02-25,109.42936706542969,170.50750732421875,172.375,169.14500427246094,172.10000610351562,5070896
2005-02-28,110.7803955078125,172.6125030517578,173.125,167.5,172.375,6402408
2005-03-01,108.89995574951172,169.6824951171875,180.0,168.875,172.625,4958152
2005-03-02,109.74553680419922,171.0,171.875,170.1999969482422,171.875,2658112
2005-03-03,111.47509765625,173.69500732421875,174.375,170.5,171.25,2891160
2005-03-04,111.6916732788086,174.03250122070312,175.4375,172.75,174.25,4017872
2005-03-07,112.32869720458984,175.02499389648438,176.0,174.25,174.375,3658032
2005-03-08,113.4325180053711,176.7449951171875,177.6125030517578,174.4199981689453,175.5,5027680
2005-03-09,112.91429901123047,175.9375,178.3125,174.38250732421875,176.125,5422088
2005-03-10,112.27735137939453,174.94500732421875,176.25,173.78250122070312,176.25,2302280
2005-03-11,114.51564025878906,178.4324951171875,179.3625030517578,175.625,175.75,5205744
2005-03-14,116.47300720214844,181.4824981689453,182.5,177.5,178.5,6534032
2005-03-15,115.73490142822266,180.33250427246094,182.75,178.75,181.375,4146480
2005-03-16,116.48905944824219,181.50750732421875,183.4499969482422,180.0,180.0,5473416
2005-03-17,117.2030258178711,182.6199951171875,184.21249389648438,180.0,181.0,6805328
2005-03-18,117.82392883300781,183.58749389648438,184.0625,178.125,182.375,6123464
2005-03-21,116.84203338623047,182.0574951171875,184.375,180.5749969482422,183.77000427246094,4354120
2005-03-22,115.80717468261719,180.44500732421875,182.1374969482422,180.0124969482422,181.85000610351562,2684432
2005-03-23,114.01811218261719,177.65750122070312,181.0,176.6699981689453,180.0,3439416
2005-03-24,111.05794525146484,173.0449981689453,179.75,172.20750427246094,178.75,5954576
2005-03-28,111.70288848876953,174.0500030517578,176.1074981689453,173.0,173.875,3699728
2005-03-29,109.9781723022461,171.3625030517578,174.75,170.27499389648438,174.375,3053400
2005-03-30,111.55538177490234,173.82000732421875,175.0,170.0,171.3874969482422,4115256
2005-03-31,114.88459777832031,179.00750732421875,180.6374969482422,174.65750122070312,175.5625,6914640
2005-04-01,116.40087890625,181.3699951171875,182.125,176.75,179.125,5562672
2005-04-04,114.53961181640625,178.47000122070312,182.10000610351562,177.91250610351562,181.5,5257360
