2026-07-21 20:35:02,743 | INFO    | stockm.ingestion | Reading ticker universe from: C:\stockM\config\tickers.csv
2026-07-21 20:35:02,744 | INFO    | stockm.ingestion | Found 51 symbols. Starting batch download...
2026-07-21 20:35:04,422 | INFO    | stockm.ingestion |   saved RELIANCE.NS      -> RELIANCE_NS.csv
2026-07-21 20:35:05,614 | INFO    | stockm.ingestion |   saved HDFCBANK.NS      -> HDFCBANK_NS.csv
2026-07-21 20:35:08,565 | INFO    | stockm.ingestion |   saved INFY.NS          -> INFY_NS.csv
2026-07-21 20:35:09,538 | INFO    | stockm.ingestion |   saved ICICIBANK.NS     -> ICICIBANK_NS.csv
2026-07-21 20:35:10,440 | INFO    | stockm.ingestion |   saved TCS.NS           -> TCS_NS.csv
2026-07-21 20:35:11,514 | INFO    | stockm.ingestion |   saved BHARTIARTL.NS    -> BHARTIARTL_NS.csv
2026-07-21 20:35:12,324 | INFO    | stockm.ingestion |   saved SBIN.NS          -> SBIN_NS.csv
2026-07-21 20:35:13,194 | INFO    | stockm.ingestion |   saved LT.NS            -> LT_NS.csv
2026-07-21 20:35:14,135 | INFO    | stockm.ingestion |   saved ITC.NS           -> ITC_NS.csv
2026-07-21 20:35:15,043 | INFO    | stockm.ingestion |   saved AXISBANK.NS      -> AXISBANK_NS.csv
2026-07-21 20:35:15,983 | INFO    | stockm.ingestion |   saved KOTAKBANK.NS     -> KOTAKBANK_NS.csv
2026-07-21 20:35:16,931 | INFO    | stockm.ingestion |   saved HINDUNILVR.NS    -> HINDUNILVR_NS.csv
2026-07-21 20:35:17,648 | INFO    | stockm.ingestion |   saved Bajajfinsv.NS    -> Bajajfinsv_NS.csv
2026-07-21 20:35:18,538 | INFO    | stockm.ingestion |   saved BAJFINANCE.NS    -> BAJFINANCE_NS.csv
2026-07-21 20:35:19,527 | INFO    | stockm.ingestion |   saved MARUTI.NS        -> MARUTI_NS.csv
2026-07-21 20:35:20,362 | INFO    | stockm.ingestion |   saved ASIANPAINT.NS    -> ASIANPAINT_NS.csv
2026-07-21 20:35:21,418 | INFO    | stockm.ingestion |   saved HCLTECH.NS       -> HCLTECH_NS.csv
2026-07-21 20:35:22,322 | INFO    | stockm.ingestion |   saved SUNPHARMA.NS     -> SUNPHARMA_NS.csv
2026-07-21 20:35:23,454 | INFO    | stockm.ingestion |   saved WIPRO.NS         -> WIPRO_NS.csv
2026-07-21 20:35:24,348 | INFO    | stockm.ingestion |   saved ULTRACEMCO.NS    -> ULTRACEMCO_NS.csv
2026-07-21 20:35:25,365 | INFO    | stockm.ingestion |   saved TITAN.NS         -> TITAN_NS.csv
2026-07-21 20:35:26,321 | INFO    | stockm.ingestion |   saved NESTLEIND.NS     -> NESTLEIND_NS.csv
2026-07-21 20:35:27,581 | INFO    | stockm.ingestion |   saved ONGC.NS          -> ONGC_NS.csv
2026-07-21 20:35:28,586 | INFO    | stockm.ingestion |   saved NTPC.NS          -> NTPC_NS.csv
2026-07-21 20:35:29,450 | INFO    | stockm.ingestion |   saved POWERGRID.NS     -> POWERGRID_NS.csv
2026-07-21 20:35:31,065 | ERROR   | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: TATAMOTORS.NS"}}}
2026-07-21 20:35:31,829 | ERROR   | yfinance | $TATAMOTORS.NS: possibly delisted; no timezone found
2026-07-21 20:35:31,830 | ERROR   | yfinance | 
1 Failed download:
2026-07-21 20:35:31,830 | ERROR   | yfinance | ['TATAMOTORS.NS']: possibly delisted; no timezone found
2026-07-21 20:35:31,834 | WARNING | stockm.collector | TATAMOTORS.NS: TATAMOTORS.NS returned 0 rows
2026-07-21 20:35:33,112 | ERROR   | yfinance | $500570.BO: possibly delisted; no timezone found
2026-07-21 20:35:33,113 | ERROR   | yfinance | 
1 Failed download:
2026-07-21 20:35:33,113 | ERROR   | yfinance | ['500570.BO']: possibly delisted; no timezone found
2026-07-21 20:35:33,118 | WARNING | stockm.collector | TATAMOTORS.NS: 500570.BO returned 0 rows
2026-07-21 20:35:33,118 | WARNING | stockm.ingestion |   SKIP  TATAMOTORS.NS    No data for TATAMOTORS.NS (tried ['TATAMOTORS.NS', '500570.BO']). Yahoo may be temporarily 404-ing this symbol; retry later or add an alias in SYMBOL_ALIASES.
2026-07-21 20:35:34,125 | INFO    | stockm.ingestion |   saved TATASTEEL.NS     -> TATASTEEL_NS.csv
2026-07-21 20:35:35,220 | INFO    | stockm.ingestion |   saved JSWSTEEL.NS      -> JSWSTEEL_NS.csv
2026-07-21 20:35:38,965 | INFO    | stockm.ingestion |   saved COALINDIA.NS     -> COALINDIA_NS.csv
2026-07-21 20:35:40,138 | INFO    | stockm.ingestion |   saved M&M.NS           -> M&M_NS.csv
2026-07-21 20:35:41,198 | INFO    | stockm.ingestion |   saved TECHM.NS         -> TECHM_NS.csv
2026-07-21 20:35:41,773 | INFO    | stockm.ingestion |   saved HDFCLIFE.NS      -> HDFCLIFE_NS.csv
2026-07-21 20:35:42,752 | INFO    | stockm.ingestion |   saved GRASIM.NS        -> GRASIM_NS.csv
2026-07-21 20:35:43,640 | INFO    | stockm.ingestion |   saved DIVISLAB.NS      -> DIVISLAB_NS.csv
2026-07-21 20:35:44,749 | INFO    | stockm.ingestion |   saved DRREDDY.NS       -> DRREDDY_NS.csv
2026-07-21 20:35:45,787 | INFO    | stockm.ingestion |   saved CIPLA.NS         -> CIPLA_NS.csv
2026-07-21 20:35:46,611 | INFO    | stockm.ingestion |   saved ADANIPORTS.NS    -> ADANIPORTS_NS.csv
2026-07-21 20:35:47,521 | INFO    | stockm.ingestion |   saved ADANIENT.NS      -> ADANIENT_NS.csv
2026-07-21 20:35:48,636 | INFO    | stockm.ingestion |   saved EICHERMOT.NS     -> EICHERMOT_NS.csv
2026-07-21 20:35:49,615 | INFO    | stockm.ingestion |   saved HEROMOTOCO.NS    -> HEROMOTOCO_NS.csv
2026-07-21 20:35:50,588 | INFO    | stockm.ingestion |   saved BAJAJ-AUTO.NS    -> BAJAJ-AUTO_NS.csv
2026-07-21 20:35:51,387 | INFO    | stockm.ingestion |   saved BRITANNIA.NS     -> BRITANNIA_NS.csv
2026-07-21 20:35:52,130 | INFO    | stockm.ingestion |   saved UPL.NS           -> UPL_NS.csv
2026-07-21 20:35:53,114 | INFO    | stockm.ingestion |   saved SHREECEM.NS      -> SHREECEM_NS.csv
2026-07-21 20:35:53,822 | INFO    | stockm.ingestion |   saved BPCL.NS          -> BPCL_NS.csv
2026-07-21 20:35:54,689 | INFO    | stockm.ingestion |   saved TATACONSUM.NS    -> TATACONSUM_NS.csv
2026-07-21 20:35:57,829 | INFO    | stockm.ingestion |   saved INDUSINDBK.NS    -> INDUSINDBK_NS.csv
2026-07-21 20:35:59,880 | INFO    | stockm.ingestion |   saved SBILIFE.NS       -> SBILIFE_NS.csv
2026-07-21 20:36:00,799 | INFO    | stockm.ingestion |   saved HINDALCO.NS      -> HINDALCO_NS.csv
2026-07-21 20:36:01,718 | INFO    | stockm.ingestion |   saved DABUR.NS         -> DABUR_NS.csv
2026-07-21 20:36:03,002 | ERROR   | yfinance | $JSPL.NS: possibly delisted; no timezone found
2026-07-21 20:36:03,003 | ERROR   | yfinance | 
1 Failed download:
2026-07-21 20:36:03,004 | ERROR   | yfinance | ['JSPL.NS']: possibly delisted; no timezone found
2026-07-21 20:36:03,010 | WARNING | stockm.collector | JSPL.NS: JSPL.NS returned 0 rows
2026-07-21 20:36:03,866 | INFO    | stockm.collector | JSPL.NS: served by alias 532286.BO
2026-07-21 20:36:03,945 | INFO    | stockm.ingestion |   saved JSPL.NS          -> JSPL_NS.csv
2026-07-21 20:36:03,946 | INFO    | stockm.ingestion | 
Done. 50/51 succeeded | 1 skipped/failed.
2026-07-21 20:36:03,946 | INFO    | stockm.ingestion |   FAILED TATAMOTORS.NS: No data for TATAMOTORS.NS (tried ['TATAMOTORS.NS', '500570.BO']). Yahoo may be temporarily 404-ing this symbol; retry later or add an alias in SYMBOL_ALIASES.
2026-07-21 20:39:48,338 | INFO    | stockm.ingestion | Reading ticker universe from: C:\stockM\config\tickers.csv
2026-07-21 20:39:48,339 | INFO    | stockm.ingestion | Found 51 symbols. Starting batch download...
2026-07-21 20:39:50,630 | INFO    | stockm.ingestion |   saved RELIANCE.NS      -> RELIANCE_NS.csv
2026-07-21 20:39:51,511 | INFO    | stockm.ingestion |   saved HDFCBANK.NS      -> HDFCBANK_NS.csv
2026-07-21 20:39:52,469 | INFO    | stockm.ingestion |   saved INFY.NS          -> INFY_NS.csv
2026-07-21 20:39:53,702 | INFO    | stockm.ingestion |   saved ICICIBANK.NS     -> ICICIBANK_NS.csv
2026-07-21 20:39:54,545 | INFO    | stockm.ingestion |   saved TCS.NS           -> TCS_NS.csv
2026-07-21 20:39:55,347 | INFO    | stockm.ingestion |   saved BHARTIARTL.NS    -> BHARTIARTL_NS.csv
2026-07-21 20:39:59,439 | INFO    | stockm.ingestion |   saved SBIN.NS          -> SBIN_NS.csv
