2026-08-02 11:53:50,359 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-02 11:53:50,361 | INFO     | stockM.api | test log line from configured logger (dev, console)
2026-08-02 11:53:50,364 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-02 11:53:50,365 | INFO     | stockM.api | test log line (prod, json format)
2026-08-02 11:54:57,938 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-02 11:54:57,939 | INFO     | stockm.api | API starting — env=development — loading model registry...
2026-08-02 11:55:00,867 | INFO     | stockm.api.registry | registry discovered 50 deployed symbols
2026-08-02 11:55:00,867 | INFO     | stockm.api | model registry ready: 50 symbols loaded
2026-08-02 11:55:00,874 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-08-02 11:55:00,876 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-02 11:55:00,878 | INFO     | httpx | HTTP Request: GET http://testserver/version "HTTP/1.1 200 OK"
2026-08-02 11:55:00,880 | INFO     | httpx | HTTP Request: GET http://testserver/docs "HTTP/1.1 200 OK"
2026-08-02 11:55:00,880 | INFO     | stockm.api | API shutting down — releasing model registry.
2026-08-03 18:42:56,508 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-03 18:42:56,509 | INFO     | stockm.api | API starting — env=development — loading model registry...
2026-08-03 18:42:56,526 | INFO     | stockm.api.registry | registry loaded: 0 ML symbols + 0 DL symbols
2026-08-03 18:42:56,526 | INFO     | stockm.api | model registry ready: 0 ML + DL models
2026-08-03 18:42:56,531 | INFO     | stockm.api.access | GET / 200 2.3ms rid=88251be394b2
2026-08-03 18:42:56,532 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-08-03 18:42:56,535 | INFO     | stockm.api.access | GET /health 200 2.0ms rid=581b77491660
2026-08-03 18:42:56,536 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:42:56,538 | INFO     | stockm.api.access | GET /version 200 1.4ms rid=c394f6d17840
2026-08-03 18:42:56,539 | INFO     | httpx | HTTP Request: GET http://testserver/version "HTTP/1.1 200 OK"
2026-08-03 18:42:56,542 | INFO     | stockm.api.access | GET /models 200 1.6ms rid=8370a5b1edd8
2026-08-03 18:42:56,543 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:42:56,543 | INFO     | stockm.api | API shutting down.
2026-08-03 18:44:48,221 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-03 18:44:48,221 | INFO     | stockm.api | API starting — env=development — loading model registry...
2026-08-03 18:44:48,288 | INFO     | stockm.api.registry | registry loaded: 50 ML symbols + 0 DL symbols
2026-08-03 18:44:48,288 | INFO     | stockm.api | model registry ready: 50 ML + DL models
2026-08-03 18:44:48,291 | INFO     | stockm.api.access | GET /health 200 1.7ms rid=87aa2454da58
